"None","Points:0","Points:1","Points:2"
53.438,5.2878e+05,3.8879e+06,-1e+05
53.521,5.3278e+05,3.8879e+06,-1e+05
53.662,5.3678e+05,3.8879e+06,-1e+05
53.86,5.4078e+05,3.8879e+06,-1e+05
54.109,5.4478e+05,3.8879e+06,-1e+05
54.457,5.4878e+05,3.8879e+06,-1e+05
54.897,5.5278e+05,3.8879e+06,-1e+05
55.384,5.5678e+05,3.8879e+06,-1e+05
56.083,5.6078e+05,3.8879e+06,-1e+05
56.916,5.6478e+05,3.8879e+06,-1e+05
57.818,5.6878e+05,3.8879e+06,-1e+05
59.055,5.7278e+05,3.8879e+06,-1e+05
60.751,5.7678e+05,3.8879e+06,-1e+05
62.639,5.8078e+05,3.8879e+06,-1e+05
65.583,5.8478e+05,3.8879e+06,-1e+05
68.917,5.8878e+05,3.8879e+06,-1e+05
73.354,5.9278e+05,3.8879e+06,-1e+05
77.908,5.9678e+05,3.8879e+06,-1e+05
82.721,6.0078e+05,3.8879e+06,-1e+05
82.625,6.0478e+05,3.8879e+06,-1e+05
77.978,6.0878e+05,3.8879e+06,-1e+05
65.392,6.1278e+05,3.8879e+06,-1e+05
51.447,6.1678e+05,3.8879e+06,-1e+05
41.569,6.2078e+05,3.8879e+06,-1e+05
28.466,6.2478e+05,3.8879e+06,-1e+05
19.273,6.2878e+05,3.8879e+06,-1e+05
10.863,6.3278e+05,3.8879e+06,-1e+05
6.3297,6.3678e+05,3.8879e+06,-1e+05
5.2171,6.4078e+05,3.8879e+06,-1e+05
6.1809,6.4478e+05,3.8879e+06,-1e+05
6.9935,6.4878e+05,3.8879e+06,-1e+05
7.9036,6.5278e+05,3.8879e+06,-1e+05
8.5855,6.5678e+05,3.8879e+06,-1e+05
8.9912,6.6078e+05,3.8879e+06,-1e+05
8.9141,6.6478e+05,3.8879e+06,-1e+05
8.565,6.6878e+05,3.8879e+06,-1e+05
7.8984,6.7278e+05,3.8879e+06,-1e+05
7.3482,6.7678e+05,3.8879e+06,-1e+05
7.1956,6.8078e+05,3.8879e+06,-1e+05
9.3704,6.8478e+05,3.8879e+06,-1e+05
16.148,6.8878e+05,3.8879e+06,-1e+05
31.95,6.9278e+05,3.8879e+06,-1e+05
56.83,4.1278e+05,3.8919e+06,-1e+05
56.685,4.1678e+05,3.8919e+06,-1e+05
56.545,4.2078e+05,3.8919e+06,-1e+05
56.367,4.2478e+05,3.8919e+06,-1e+05
56.213,4.2878e+05,3.8919e+06,-1e+05
56.086,4.3278e+05,3.8919e+06,-1e+05
56.012,4.3678e+05,3.8919e+06,-1e+05
55.93,4.4078e+05,3.8919e+06,-1e+05
55.908,4.4478e+05,3.8919e+06,-1e+05
55.784,4.4878e+05,3.8919e+06,-1e+05
55.616,4.5278e+05,3.8919e+06,-1e+05
